epoch,train_rmse,training_ratings,users,movies,factors,learning_rate,regularization,backend,device,optimizer
1,0.955032,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
2,0.821758,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
3,0.767309,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
4,0.750984,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
5,0.74336,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
6,0.736561,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
7,0.728027,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
8,0.720808,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
9,0.715662,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
10,0.712308,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
11,0.709696,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
12,0.708828,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
13,0.708036,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
14,0.707129,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
15,0.705415,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
16,0.704852,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
17,0.703896,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
18,0.702909,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
19,0.702391,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
20,0.701027,1316740,10000,15626,48,0.02,0.04,torch,cuda,adam
